card_id,customer_id,card_number,expiry_date,credit_limit,current_balance,available_credit,issue_date,card_type,status
CARD000037,CUST002740,1387929967342697,2029-02-09,8758,6508,2250,2024-12-03,American Express,Active
CARD000038,CUST001796,8661975064553807,2030-09-09,2551,333,2218,2024-07-12,American Express,Active
CARD000039,CUST000174,1033913201364693,2026-09-02,14497,10144,4353,2025-09-07,American Express,Active
CARD000040,CUST001502,4761844744271767,2030-02-24,2911,2235,676,2021-01-24,Visa,Active
CARD000041,CUST000981,3638985686085620,2029-01-24,3936,1788,2148,2021-08-29,American Express,Active
CARD000042,CUST003275,6472240860338298,2028-01-14,9130,1143,7987,2020-10-08,Visa,Active
CARD000043,CUST001713,7677101265166656,2029-12-03,5326,3024,2302,2024-05-08,MasterCard,Inactive
CARD000044,CUST004617,5664335684612231,2029-04-29,6722,3460,3262,2021-07-24,Visa,Active
CARD000045,CUST004041,8425603940746171,2026-12-11,10114,3978,6136,2025-04-15,Visa,Active
CARD000046,CUST004584,7341893627780756,2030-03-27,12773,4601,8172,2023-11-27,Visa,Active
CARD000047,CUST004326,7068409478981067,2028-02-15,13100,7797,5303,2020-07-01,Visa,Active
CARD000048,CUST001255,7644260717430058,2028-06-03,10426,7187,3239,2025-07-25,American Express,Active
CARD000049,CUST002899,7404346081108361,2027-04-07,4418,2417,2001,2024-11-21,Visa,Inactive
CARD000050,CUST001112,4057311554469428,2028-08-31,12911,5740,7171,2021-04-01,Visa,Active
CARD000051,CUST002924,2640201420589905,2028-06-30,1000,20,980,2023-03-01,MasterCard,Active
CARD000052,CUST004824,7296573388325809,2026-04-22,7902,4663,3239,2023-03-01,American Express,Active
CARD000053,CUST000124,9758730193199328,2030-02-17,5051,1653,3398,2025-03-28,American Express,Active
CARD000054,CUST002357,8887549044922651,2028-10-16,1065,302,763,2025-07-30,Visa,Active
CARD000055,CUST001831,3945152723556146,2030-06-18,12068,1398,10670,2025-07-05,MasterCard,Active
CARD000056,CUST001977,9838117931636502,2030-03-14,5293,820,4473,2025-02-22,MasterCard,Active
CARD000057,CUST002347,1088462722065705,2030-03-31,1568,279,1289,2024-12-14,American Express,Active
CARD000058,CUST003998,5756952585309950,2026-06-11,3288,1355,1933,2024-10-04,American Express,Active
CARD000059,CUST002016,4062119340692949,2027-07-19,15679,8639,7040,2022-03-15,MasterCard,Active
CARD000060,CUST000081,6671644312239153,2028-06-10,9224,3857,5367,2024-03-25,Visa,Active
CARD000061,CUST004270,4173076601082002,2027-03-19,1000,119,881,2023-03-12,MasterCard,Active
CARD000062,CUST002815,3487837464237705,2027-04-08,10656,6650,4006,2022-11-17,MasterCard,Active
CARD000063,CUST004269,7003174949325145,2030-09-08,7582,3973,3609,2024-02-11,MasterCard,Active
CARD000064,CUST003397,9645315859826363,2028-03-13,11152,7582,3570,2017-03-26,MasterCard,Active
CARD000065,CUST001157,8223964015129014,2027-06-15,5070,3038,2032,2023-01-18,MasterCard,Active
CARD000066,CUST000533,8243289472882696,2029-04-29,1000,33,967,2025-04-01,MasterCard,Active
CARD000067,CUST001808,8379982294184124,2026-03-28,2868,2031,837,2023-02-18,MasterCard,Active
CARD000068,CUST000563,5555952736897296,2028-01-31,9849,866,8983,2024-10-26,Visa,Active
CARD000069,CUST003440,8922692955513780,2027-09-17,18041,13549,4492,2023-09-01,MasterCard,Active
CARD000070,CUST000036,9571533649533426,2029-10-17,2130,1367,763,2023-06-14,MasterCard,Active
CARD000071,CUST001685,4169827214478381,2027-05-19,8722,3829,4893,2025-05-02,American Express,Active
CARD000072,CUST004699,4455406347287223,2028-09-15,5345,4166,1179,2022-06-15,MasterCard,Active
CARD000073,CUST000577,0295270296274546,2026-10-09,6566,2043,4523,2022-02-23,American Express,Active
CARD000074,CUST000050,0150331966873839,2026-01-18,12287,3215,9072,2023-12-03,Visa,Active
CARD000075,CUST003144,7405470309397843,2026-11-18,10813,8083,2730,2021-06-26,American Express,Active
CARD000076,CUST002678,4647139898347623,2027-02-09,15786,8667,7119,2025-09-12,Visa,Active
CARD000077,CUST003954,5469347222445804,2030-02-24,3419,906,2513,2017-03-29,American Express,Active
CARD000078,CUST000797,4399203168976219,2029-03-15,9789,5917,3872,2022-02-17,Visa,Active
CARD000079,CUST000305,0872034894696968,2029-02-16,8446,2541,5905,2021-11-19,Visa,Active
CARD000080,CUST001532,2133574724553710,2029-11-18,5785,1130,4655,2021-12-21,MasterCard,Active
CARD000081,CUST002019,2277246355787182,2029-08-25,5755,2957,2798,2025-03-20,MasterCard,Active
CARD000082,CUST001586,6085805944845947,2030-09-11,7703,1168,6535,2025-07-19,Visa,Active
CARD000083,CUST004442,1908467026354760,2027-12-06,8757,2576,6181,2022-02-04,MasterCard,Active
CARD000084,CUST004939,8490807459229711,2027-03-07,11886,7737,4149,2021-06-24,American Express,Active
CARD000085,CUST003240,1621513862262398,2026-04-07,6631,1245,5386,2024-11-10,American Express,Active
CARD000086,CUST000903,0950389438606318,2027-11-17,13206,6673,6533,2023-09-13,Visa,Blocked
CARD000087,CUST004647,7364347370727010,2027-04-24,7015,4193,2822,2021-02-26,MasterCard,Active
CARD000088,CUST000669,8549636643729182,2028-01-20,12368,8009,4359,2021-07-30,MasterCard,Active
CARD000089,CUST003357,2281805356134496,2030-06-13,8875,6713,2162,2024-08-04,American Express,Active
CARD000090,CUST001916,4314786700877660,2030-03-14,17098,63,17035,2023-02-23,MasterCard,Active
CARD000091,CUST000672,2230269461549036,2026-05-31,16829,13026,3803,2017-12-25,MasterCard,Active
CARD000092,CUST003713,0941317834036955,2029-11-07,4844,1281,3563,2022-10-31,American Express,Active
CARD000093,CUST004717,4639068349740586,2029-03-23,14057,5688,8369,2021-11-14,MasterCard,Active
CARD000094,CUST002439,5139667680594295,2029-07-29,11321,6334,4987,2019-12-29,MasterCard,Active
CARD000095,CUST002618,9984159584481334,2028-10-20,3417,2488,929,2022-08-14,MasterCard,Active
CARD000096,CUST001679,7072162277522841,2029-03-16,2550,78,2472,2021-01-03,Visa,Active
CARD000097,CUST002501,0936030711528642,2028-12-02,6843,4319,2524,2025-08-08,Visa,Inactive
CARD000098,CUST004096,0730220941175277,2026-08-25,1915,1503,412,2024-11-01,American Express,Inactive
CARD000099,CUST002271,9748156498425572,2029-09-14,7302,1132,6170,2022-10-29,Visa,Active
CARD000100,CUST004151,3737435139105557,2026-02-15,8266,4401,3865,2022-08-23,MasterCard,Active
CARD000101,CUST002484,5244632878289292,2026-07-26,10289,1621,8668,2024-01-01,Visa,Active
CARD000102,CUST002531,3501720206696308,2026-02-19,5777,4519,1258,2023-09-12,MasterCard,Active
CARD000103,CUST001806,8163155475856142,2026-03-19,11507,1883,9624,2024-02-09,MasterCard,Active
CARD000104,CUST004462,4424721167566670,2027-09-01,10564,2332,8232,2017-10-05,American Express,Active
CARD000105,CUST001254,1821375122278145,2030-07-09,14584,3014,11570,2025-03-13,Visa,Active
CARD000106,CUST002769,7201439030937010,2027-03-31,9239,1602,7637,2025-08-20,Visa,Active
CARD000107,CUST002389,7814139885571617,2029-02-09,11228,959,10269,2023-06-18,Visa,Active
CARD000108,CUST002056,9913879102048337,2029-03-23,4762,2198,2564,2023-01-26,MasterCard,Active
CARD000109,CUST001926,7303920561878623,2028-10-22,9438,6159,3279,2022-06-25,Visa,Active
CARD000110,CUST004608,7797569226022336,2026-02-15,6981,1863,5118,2025-03-26,MasterCard,Active
CARD000111,CUST002196,6696727593347268,2029-07-14,11552,3734,7818,2023-06-15,Visa,Active
CARD000112,CUST002591,1931267636174835,2029-05-14,5663,3116,2547,2019-03-25,Visa,Active
CARD000113,CUST003690,5914456609052457,2030-02-15,7614,2411,5203,2024-11-04,American Express,Active
CARD000114,CUST002633,4184037843825002,2028-03-27,13215,6840,6375,2025-09-26,MasterCard,Active
CARD000115,CUST002809,3864959071736815,2029-08-06,9232,6501,2731,2025-04-13,MasterCard,Active
CARD000116,CUST003628,8299110801930925,2028-06-15,10840,7234,3606,2025-05-11,MasterCard,Inactive
CARD000117,CUST000370,6533737331417511,2029-03-30,13115,7965,5150,2025-05-17,Visa,Active
CARD000118,CUST003464,3634560089638293,2027-05-03,6432,2974,3458,2025-05-02,Visa,Active
CARD000119,CUST001247,4562972669762379,2029-05-23,8076,1927,6149,2023-11-03,MasterCard,Active
CARD000120,CUST004347,6005188483891850,2026-10-05,13114,6954,6160,2025-09-14,Visa,Active
CARD000121,CUST000953,0236402188406467,2030-04-30,9928,1782,8146,2024-01-11,American Express,Active
CARD000122,CUST004689,5123924534169792,2028-07-20,3122,249,2873,2024-06-15,MasterCard,Active
CARD000123,CUST000484,1090407749417579,2027-08-12,5856,4137,1719,2022-02-01,MasterCard,Active
CARD000124,CUST002770,3243740821150957,2027-03-30,15498,6770,8728,2024-01-01,American Express,Active
CARD000125,CUST003555,8055256307405550,2030-01-23,11220,6240,4980,2025-07-28,American Express,Inactive
CARD000126,CUST003766,7368610030151738,2028-08-13,7635,4910,2725,2023-07-14,Visa,Active
CARD000127,CUST003694,2707090393808126,2030-03-12,11077,5728,5349,2021-12-03,American Express,Active
CARD000128,CUST000175,6668407544627270,2028-03-03,6055,624,5431,2025-02-25,American Express,Active
CARD000129,CUST004305,7227900096496317,2027-10-17,6949,4298,2651,2025-06-25,American Express,Active
CARD000130,CUST002850,2965483244999760,2029-03-06,7111,4266,2845,2018-10-12,MasterCard,Active
CARD000131,CUST001775,1258709834281247,2026-07-06,12787,5927,6860,2022-12-30,American Express,Active
CARD000132,CUST000648,7226572296738442,2026-11-22,1000,229,771,2020-06-17,American Express,Active
CARD000133,CUST000252,8064446883449632,2029-10-29,13322,8884,4438,2022-11-18,American Express,Active
CARD000134,CUST000312,7638943397219069,2030-04-20,4895,251,4644,2025-01-01,Visa,Active
CARD000135,CUST000040,3689174674119375,2029-11-21,8826,1894,6932,2025-09-25,MasterCard,Active
CARD000136,CUST003800,4405344337488934,2025-12-08,6967,4551,2416,2025-08-21,American Express,Inactive
CARD000137,CUST004976,1860037508905427,2030-05-12,3360,360,3000,2021-05-21,American Express,Inactive
CARD000138,CUST001124,6537015330616195,2029-03-30,9773,6097,3676,2024-08-16,American Express,Active
CARD000139,CUST001617,1138867847984624,2028-11-02,9454,3168,6286,2024-02-16,Visa,Active
CARD000140,CUST002367,5923172675398353,2026-03-20,4553,3196,1357,2022-06-08,MasterCard,Active
CARD000141,CUST002983,5749121065574529,2029-11-29,15989,10150,5839,2021-12-22,Visa,Active
CARD000142,CUST004415,7905011296564799,2030-07-30,7216,4278,2938,2022-11-05,Visa,Active
CARD000143,CUST003436,7744524116423420,2030-07-01,11165,3336,7829,2025-07-13,American Express,Active
CARD000144,CUST003138,9820879189031488,2026-08-02,2647,1097,1550,2022-10-16,Visa,Active
CARD000145,CUST001654,6925251927006465,2026-02-17,9356,2335,7021,2023-08-26,MasterCard,Active
CARD000146,CUST002290,9634783735435216,2027-04-26,8546,1376,7170,2023-07-17,Visa,Active
CARD000147,CUST004121,6877376777271671,2027-10-31,1000,222,778,2023-05-08,Visa,Active
CARD000148,CUST001473,0142339722742261,2026-01-14,2633,1090,1543,2019-11-22,MasterCard,Active
CARD000149,CUST000994,3151814273939955,2025-12-19,3317,1810,1507,2023-08-20,MasterCard,Active
CARD000150,CUST004509,6367766072972059,2027-11-24,9031,2218,6813,2023-12-21,Visa,Active
CARD000151,CUST003380,2719427414266748,2026-07-31,9621,2500,7121,2024-05-22,Visa,Active
CARD000152,CUST003321,8726828412972783,2028-01-05,12519,5416,7103,2024-07-02,American Express,Active
CARD000153,CUST004792,0221596629276418,2028-11-30,4494,649,3845,2019-05-31,MasterCard,Active
CARD000154,CUST001340,4081296518500647,2028-07-01,2693,543,2150,2020-08-13,MasterCard,Active
CARD000155,CUST003231,6411973428753752,2026-03-11,7820,2919,4901,2024-08-19,MasterCard,Active
CARD000156,CUST003471,5088604426113311,2027-09-25,9673,1339,8334,2024-08-12,Visa,Active
CARD000157,CUST000347,6644836775812529,2027-10-11,13228,56,13172,2020-08-17,Visa,Active
CARD000158,CUST003622,6348735723441002,2030-02-04,10313,1967,8346,2024-01-01,American Express,Active
CARD000159,CUST001181,8787619959951000,2025-11-26,13444,10591,2853,2023-08-29,Visa,Active
CARD000160,CUST003870,4949517920340834,2028-09-13,13644,9894,3750,2025-05-26,American Express,Active
CARD000161,CUST003445,9577160429358426,2029-03-20,4991,2587,2404,2024-03-25,MasterCard,Active
CARD000162,CUST001544,4231431275212828,2027-09-20,10111,3867,6244,2023-11-04,MasterCard,Active
CARD000163,CUST001590,0774927082754723,2030-02-28,16475,12340,4135,2025-07-29,Visa,Active
CARD000164,CUST004854,7836270143705799,2028-10-26,7836,5498,2338,2023-02-03,MasterCard,Active
CARD000165,CUST004075,4833940362110651,2027-02-01,12786,2123,10663,2016-05-10,Visa,Active
CARD000166,CUST003702,9175431874372700,2028-02-06,1528,50,1478,2020-08-20,American Express,Active
CARD000167,CUST002393,0431005178974886,2027-04-11,3086,1521,1565,2021-03-14,American Express,Active
CARD000168,CUST000624,7436948386285912,2027-08-17,1028,490,538,2025-09-08,American Express,Active
CARD000169,CUST003680,5527334430665099,2028-09-14,6211,1484,4727,2023-01-04,American Express,Active
CARD000170,CUST003019,5016738454778065,2029-06-25,1000,547,453,2021-04-27,Visa,Active
CARD000171,CUST004338,7270381951460657,2028-04-25,1000,606,394,2024-10-23,Visa,Active
CARD000172,CUST004653,3328594650635972,2030-05-11,4201,2478,1723,2023-10-28,MasterCard,Active
CARD000173,CUST000044,0102757023523962,2028-06-15,9263,6683,2580,2025-07-02,American Express,Active
CARD000174,CUST000847,3129717382824541,2028-09-21,11545,8425,3120,2025-08-13,MasterCard,Active
CARD000175,CUST000645,2403526650928509,2029-12-17,8155,243,7912,2021-12-28,MasterCard,Active
CARD000176,CUST003311,0284449460723056,2026-12-28,11556,4417,7139,2024-03-09,Visa,Active
CARD000177,CUST002108,2736404728844602,2027-03-31,3989,2755,1234,2025-03-08,American Express,Active
CARD000178,CUST004665,4823882717651987,2030-01-26,3564,780,2784,2020-04-12,Visa,Active
CARD000179,CUST003584,7508304172325412,2029-12-03,7909,3378,4531,2023-09-13,MasterCard,Active
CARD000180,CUST000519,1603081164545035,2025-10-13,1000,429,571,2024-03-19,MasterCard,Active
CARD000181,CUST003080,2958599688012877,2027-11-01,6613,3803,2810,2023-09-04,Visa,Active
CARD000182,CUST003540,2293353466621089,2029-04-11,4311,2177,2134,2017-10-31,Visa,Active
CARD000183,CUST003155,6177382754180567,2028-10-31,15897,2498,13399,2024-08-06,Visa,Inactive
CARD000184,CUST002328,0548187875214483,2027-11-03,3362,892,2470,2025-06-30,American Express,Active
CARD000185,CUST000906,7974477704262283,2030-03-31,10954,6498,4456,2022-03-31,American Express,Active
CARD000186,CUST001301,3033544239382568,2028-12-16,8775,5708,3067,2025-07-25,American Express,Active
CARD000187,CUST002483,4771943576939981,2029-05-19,11541,969,10572,2025-08-24,American Express,Active
CARD000188,CUST000417,9844709397077037,2029-07-05,1028,794,234,2022-04-12,Visa,Active
CARD000189,CUST002037,1794181804753742,2027-05-11,7985,4892,3093,2023-11-13,MasterCard,Active
CARD000190,CUST003484,7637636998908954,2027-07-10,4447,296,4151,2017-09-15,MasterCard,Blocked
CARD000191,CUST004789,6042962677245713,2027-09-28,12340,8963,3377,2023-02-07,MasterCard,Active
CARD000192,CUST001268,5965734044642636,2029-11-28,1070,285,785,2024-02-22,American Express,Active
CARD000193,CUST001826,0141268748413549,2027-04-22,8547,513,8034,2023-12-16,MasterCard,Active
CARD000194,CUST002325,6343786248300460,2029-03-06,13516,5985,7531,2023-07-09,Visa,Active
CARD000195,CUST001499,1535440754403185,2026-03-01,12259,5762,6497,2016-11-07,American Express,Active
CARD000196,CUST001731,3461820672733284,2030-08-16,5902,4202,1700,2025-01-25,American Express,Active
CARD000197,CUST001651,1675337539677505,2026-08-10,3814,2487,1327,2024-12-16,American Express,Active
CARD000198,CUST004531,3180521424754148,2028-07-26,4487,611,3876,2025-03-05,American Express,Active
CARD000199,CUST002280,2180176618888281,2028-11-24,14949,9881,5068,2025-08-30,American Express,Active
CARD000200,CUST001844,7062990018105784,2028-11-08,12991,2215,10776,2024-09-23,American Express,Active
CARD000201,CUST001291,7219924212636244,2026-02-26,4659,753,3906,2025-08-24,American Express,Active
CARD000202,CUST004561,6793961388486541,2028-08-23,7260,2500,4760,2025-09-21,American Express,Active
CARD000203,CUST001433,6393816486659400,2026-02-24,10412,376,10036,2020-01-16,MasterCard,Active
CARD000204,CUST001201,4722652105452858,2026-06-13,6749,1030,5719,2024-09-27,American Express,Active
CARD000205,CUST000098,6304041181766462,2028-01-10,12316,4975,7341,2022-02-25,Visa,Active
CARD000206,CUST003314,1443371023873028,2029-03-11,10563,5466,5097,2024-01-03,MasterCard,Active
CARD000207,CUST000304,0564541174181778,2029-08-16,8663,5733,2930,2024-07-05,Visa,Active
CARD000208,CUST004783,5654434322363977,2028-10-06,11582,6761,4821,2023-02-23,Visa,Active
CARD000209,CUST002710,0255577463349445,2026-08-11,14101,4809,9292,2025-01-11,Visa,Active
CARD000210,CUST002948,0908550765251211,2025-11-30,10160,7964,2196,2025-04-27,American Express,Active
CARD000211,CUST000107,2978338281045339,2025-10-25,13740,8581,5159,2025-06-24,MasterCard,Active
CARD000212,CUST003543,2899919809426356,2027-10-02,8309,4036,4273,2020-10-30,Visa,Active
CARD000213,CUST004752,3449135594498201,2026-09-20,5987,4636,1351,2022-08-23,MasterCard,Active
CARD000214,CUST004152,2170645383567916,2026-06-18,12904,3249,9655,2025-06-04,Visa,Active
CARD000215,CUST001836,4026848901466965,2026-06-29,9870,7484,2386,2025-04-30,American Express,Active
CARD000216,CUST001319,3530857690380180,2030-05-12,7344,5802,1542,2021-10-27,American Express,Active
CARD000217,CUST003199,8826056617622321,2025-11-16,1339,960,379,2023-08-26,MasterCard,Active
CARD000218,CUST003331,7988509928653269,2029-02-14,6602,1911,4691,2019-05-25,MasterCard,Active
CARD000219,CUST000964,3582735147742747,2030-04-07,3906,866,3040,2024-12-28,Visa,Inactive
CARD000220,CUST003458,9314759277136260,2029-08-01,8858,3452,5406,2025-09-24,Visa,Active
CARD000221,CUST000406,4095315695067417,2030-09-13,11423,4554,6869,2024-12-14,MasterCard,Active
CARD000222,CUST000097,1142377821086040,2030-02-10,10989,8545,2444,2024-08-17,Visa,Active
CARD000223,CUST001172,6916619729745743,2029-04-15,4678,420,4258,2023-01-06,MasterCard,Active
CARD000224,CUST000451,6541775148070029,2028-08-23,17878,13560,4318,2024-09-04,American Express,Active
CARD000225,CUST000006,9033778519076810,2026-03-26,6841,3060,3781,2020-04-06,MasterCard,Active
CARD000226,CUST002146,1394777806016262,2027-01-28,12366,1836,10530,2019-06-17,American Express,Active
CARD000227,CUST000120,9453412893282762,2026-08-10,3067,2151,916,2020-04-23,MasterCard,Active
CARD000228,CUST002743,0874887083361626,2027-01-02,8699,4092,4607,2024-08-06,Visa,Active
CARD000229,CUST002628,0039606228936230,2030-06-05,7612,5951,1661,2023-03-02,Visa,Active
CARD000230,CUST004901,9711259356642295,2028-12-13,15009,9319,5690,2021-01-06,American Express,Active
CARD000231,CUST000322,8640386448309305,2028-10-18,14266,10060,4206,2025-09-20,MasterCard,Active
CARD000232,CUST000034,4253954173322328,2029-03-30,7622,3346,4276,2024-04-01,MasterCard,Active
CARD000233,CUST002516,0135137975921203,2029-04-23,8345,628,7717,2025-03-22,MasterCard,Active
CARD000234,CUST000095,1794971387066145,2030-05-28,1000,654,346,2024-03-09,Visa,Active
CARD000235,CUST000485,4054466255873422,2028-09-24,15388,4868,10520,2021-11-03,MasterCard,Active
CARD000236,CUST002024,4714591300907586,2028-07-05,4559,3603,956,2023-03-03,MasterCard,Active
CARD000237,CUST004165,7979152846325661,2029-02-02,12798,7051,5747,2023-09-04,MasterCard,Active
CARD000238,CUST003335,1618050719891107,2027-03-16,4695,588,4107,2023-03-23,MasterCard,Active
CARD000239,CUST000777,1205033299950545,2029-05-05,4159,3311,848,2018-10-16,MasterCard,Active
CARD000240,CUST003105,1157932350423167,2028-01-03,11050,198,10852,2024-02-01,Visa,Active
CARD000241,CUST001454,3757603646569384,2027-05-29,9597,6093,3504,2024-11-17,MasterCard,Active
CARD000242,CUST001416,6728344355156312,2030-01-18,12502,5956,6546,2024-12-31,American Express,Active
CARD000243,CUST002474,9200415675199814,2029-11-02,6106,4127,1979,2024-10-26,Visa,Active
CARD000244,CUST001364,6679377714102807,2025-12-20,6357,955,5402,2021-04-11,Visa,Active
CARD000245,CUST000346,9060950105183795,2028-04-03,9411,986,8425,2022-06-28,American Express,Active
CARD000246,CUST003475,8053323825626557,2027-04-05,4024,2168,1856,2022-08-11,American Express,Active
CARD000247,CUST000260,6543158566567030,2028-07-12,2797,1661,1136,2024-03-24,MasterCard,Active
CARD000248,CUST002589,4590534655209586,2030-01-26,12472,1161,11311,2024-08-28,American Express,Active
CARD000249,CUST002605,9312028117383035,2030-02-04,7065,5329,1736,2024-12-23,Visa,Active
CARD000250,CUST003153,5176727488617056,2030-06-19,7878,5930,1948,2022-01-08,American Express,Active
CARD000251,CUST000032,9837225552700503,2025-11-12,16796,5859,10937,2025-07-21,American Express,Active
CARD000252,CUST000151,2200612875668999,2029-01-28,9852,4965,4887,2022-10-23,Visa,Active
CARD000253,CUST003148,1657405312708843,2026-02-20,1000,496,504,2022-01-29,Visa,Active
CARD000254,CUST000030,1147308975907578,2026-12-11,7211,3141,4070,2019-12-12,American Express,Active
CARD000255,CUST004450,7454795437311379,2027-06-12,7176,3673,3503,2025-02-25,MasterCard,Active
CARD000256,CUST004481,5215184257834994,2027-09-24,8370,1730,6640,2024-04-07,American Express,Active
CARD000257,CUST004756,2074384199512076,2027-02-09,2856,813,2043,2023-01-20,Visa,Active
CARD000258,CUST002981,7522832616925999,2027-12-14,4437,864,3573,2025-01-06,MasterCard,Active
CARD000259,CUST002718,9444559171262527,2027-08-08,1295,947,348,2025-01-25,American Express,Active
CARD000260,CUST004990,8821617603042175,2027-09-15,11488,8724,2764,2025-01-29,American Express,Active
CARD000261,CUST003488,5002947963547556,2029-09-22,10449,4034,6415,2021-05-08,MasterCard,Active
CARD000262,CUST002144,0442856639300092,2026-07-02,11517,5674,5843,2020-07-24,Visa,Active
CARD000263,CUST002010,3318770489151576,2027-02-20,5505,4290,1215,2024-04-16,MasterCard,Active
CARD000264,CUST001733,0666952295866526,2026-06-23,5315,270,5045,2025-04-13,American Express,Active
CARD000265,CUST004090,9757931406018158,2030-06-28,8374,1127,7247,2025-08-13,MasterCard,Active
CARD000266,CUST000389,8100853697098888,2030-06-26,15004,2695,12309,2025-07-11,American Express,Active
CARD000267,CUST002184,2451890464433334,2030-02-01,1845,405,1440,2023-01-17,MasterCard,Active
CARD000268,CUST001624,6743587097458583,2028-10-03,9448,114,9334,2024-02-13,American Express,Active
CARD000269,CUST004950,0441904625356805,2026-12-05,4185,2308,1877,2024-07-14,American Express,Active
CARD000270,CUST002790,3201010626688497,2030-05-21,8453,5312,3141,2025-07-31,MasterCard,Active
CARD000271,CUST001887,4685858308066442,2025-12-07,3408,619,2789,2024-03-16,Visa,Active
CARD000272,CUST003351,5219249292504454,2026-04-28,1000,172,828,2020-05-22,Visa,Active
CARD000273,CUST003937,0466412909763954,2028-01-07,10517,7753,2764,2025-07-13,MasterCard,Active
CARD000274,CUST004103,7999347724780417,2027-01-25,12548,478,12070,2025-05-28,MasterCard,Active
CARD000275,CUST002836,8057780010422980,2028-03-23,11411,6176,5235,2024-04-17,Visa,Inactive
CARD000276,CUST000786,4148452552901702,2026-06-29,7045,2684,4361,2025-06-20,MasterCard,Active
CARD000277,CUST002649,4999242555655673,2028-08-10,6166,531,5635,2024-10-19,American Express,Active
CARD000278,CUST002218,1709280909723739,2027-01-22,2877,277,2600,2023-08-18,American Express,Active
CARD000279,CUST003232,2882857563879768,2028-02-26,13235,7631,5604,2024-05-28,Visa,Active
CARD000280,CUST004375,9922395938628797,2029-11-11,7270,4567,2703,2023-04-13,Visa,Active
CARD000281,CUST003313,3749857111447271,2027-02-22,6068,1539,4529,2022-01-08,American Express,Active
