account_id,customer_id,account_type,account_number,current_balance,open_date,interest_rate,status
ACC000061,CUST000040,Money Market,000444156630,43575.2,2024-06-15,0.0389,Active
ACC000062,CUST000040,Checking,220217589283,2179.67,2023-05-22,0.0001,Active
ACC000063,CUST000041,Checking,072032489323,7511.43,2021-06-18,0.0001,Active
ACC000064,CUST000042,Checking,946685324148,3640.25,2024-08-22,0.0001,Active
ACC000065,CUST000042,Checking,746585785645,8569.67,2017-10-06,0.0001,Active
ACC000066,CUST000042,Savings,934682985165,8624.58,2021-05-19,0.0129,Active
ACC000067,CUST000043,Money Market,778634144877,20105.27,2021-11-22,0.0288,Active
ACC000068,CUST000044,Checking,031887277960,3999.48,2023-10-28,0.0001,Dormant
ACC000069,CUST000045,Savings,420505784622,15608.92,2018-10-08,0.0265,Active
ACC000070,CUST000046,Checking,141382987908,4133.73,2023-06-02,0.0001,Active
ACC000071,CUST000047,Savings,466017059396,9114.11,2024-10-11,0.0193,Active
ACC000072,CUST000048,Savings,264124655295,0.0,2023-06-28,0.0244,Active
ACC000073,CUST000048,CD,320227113180,7473.01,2023-12-24,0.0265,Active
ACC000074,CUST000048,Checking,847555773432,5100.16,2021-06-14,0.0001,Active
ACC000075,CUST000049,Savings,366949835980,18787.25,2023-09-18,0.0205,Active
ACC000076,CUST000050,Savings,758456271370,3071.49,2024-09-27,0.0225,Active
ACC000077,CUST000051,Money Market,890906609478,25994.95,2022-08-06,0.024,Active
ACC000078,CUST000052,Money Market,588998724446,21783.51,2024-11-18,0.0382,Closed
ACC000079,CUST000053,Savings,092749390981,30552.95,2021-05-31,0.0237,Active
ACC000080,CUST000054,CD,684054165237,10072.68,2019-10-26,0.0252,Active
ACC000081,CUST000055,Checking,003226073478,4866.72,2022-12-15,0.0001,Active
ACC000082,CUST000055,Checking,846431032338,0.0,2018-11-29,0.0001,Dormant
ACC000083,CUST000056,Money Market,730585821964,1748.26,2024-07-10,0.0352,Active
ACC000084,CUST000056,Savings,312125588983,15906.7,2024-02-07,0.0247,Active
ACC000085,CUST000057,Checking,707792445475,4501.68,2023-10-17,0.0001,Active
ACC000086,CUST000058,Checking,687310242645,3441.59,2020-12-02,0.0001,Active
ACC000087,CUST000058,Money Market,468458310903,48204.07,2020-04-16,0.0371,Active
ACC000088,CUST000058,Checking,327502719264,6261.81,2023-02-28,0.0001,Active
ACC000089,CUST000058,Savings,728807366497,2539.27,2021-09-03,0.0108,Active
ACC000090,CUST000059,Savings,196433562395,22604.1,2025-04-19,0.0258,Active
ACC000091,CUST000059,Money Market,000822205322,48756.58,2024-10-31,0.0209,Active
ACC000092,CUST000060,Checking,661710147824,5378.15,2021-10-22,0.0001,Active
ACC000093,CUST000061,Money Market,173906650688,28253.83,2021-04-17,0.0326,Active
ACC000094,CUST000061,Checking,731603502450,4623.13,2025-07-13,0.0001,Active
ACC000095,CUST000062,Checking,052416945646,10781.81,2024-11-29,0.0001,Active
ACC000096,CUST000062,Checking,469142840000,3539.41,2021-04-25,0.0001,Active
ACC000097,CUST000062,Checking,471073823225,2793.8,2023-10-31,0.0001,Active
ACC000098,CUST000062,Money Market,376223345015,40356.44,2021-08-15,0.0255,Active
ACC000099,CUST000062,Checking,186247939334,8434.21,2025-08-16,0.0001,Active
ACC000100,CUST000063,Checking,315558008757,6197.15,2018-12-20,0.0001,Active
ACC000101,CUST000064,Checking,382370844468,6095.97,2022-04-02,0.0001,Dormant
ACC000102,CUST000065,Checking,385418429326,1609.27,2025-08-24,0.0001,Active
ACC000103,CUST000066,Checking,701065360549,0.0,2019-07-15,0.0001,Active
ACC000104,CUST000066,Checking,082627756999,5433.66,2021-02-15,0.0001,Active
ACC000105,CUST000066,Checking,095661182892,3095.08,2019-03-19,0.0001,Dormant
ACC000106,CUST000066,Savings,643583097533,27164.87,2017-05-14,0.0238,Active
ACC000107,CUST000066,CD,691861756863,1541.89,2023-02-28,0.0313,Active
ACC000108,CUST000066,Checking,422069925583,5761.73,2017-03-14,0.0001,Active
ACC000109,CUST000066,Checking,875634491088,8684.32,2020-04-10,0.0001,Active
ACC000110,CUST000067,CD,192727783407,14681.78,2024-01-30,0.0396,Active
ACC000111,CUST000068,Checking,717711034020,5477.14,2025-03-16,0.0001,Closed
ACC000112,CUST000068,Checking,457417918480,3450.3,2025-08-22,0.0001,Active
ACC000113,CUST000069,Savings,148904011392,18863.34,2025-03-23,0.0122,Active
ACC000114,CUST000070,Savings,764561846891,9661.91,2025-02-23,0.0175,Active
ACC000115,CUST000071,Money Market,597470914871,12465.31,2018-10-28,0.0321,Active
ACC000116,CUST000072,Checking,826561978968,5072.33,2021-10-22,0.0001,Dormant
ACC000117,CUST000073,Checking,699277086657,7250.11,2025-05-28,0.0001,Dormant
ACC000118,CUST000074,Money Market,977597767380,34548.35,2025-09-20,0.0208,Active
ACC000119,CUST000074,Checking,337339347412,8408.85,2025-08-10,0.0001,Active
ACC000120,CUST000075,Checking,385460521732,4119.42,2024-04-16,0.0001,Active
ACC000121,CUST000076,Savings,892880229557,15426.62,2023-10-16,0.018,Active
ACC000122,CUST000077,Savings,906231543449,16512.13,2020-08-10,0.0116,Active
ACC000123,CUST000078,Money Market,671172498596,46858.34,2023-05-16,0.0248,Active
ACC000124,CUST000079,Savings,941626724089,19036.87,2025-05-16,0.0176,Active
ACC000125,CUST000080,Checking,156670191871,6280.73,2023-01-28,0.0001,Active
ACC000126,CUST000081,Savings,920718980221,23655.71,2023-02-06,0.0148,Closed
ACC000127,CUST000082,Checking,461173417414,3811.81,2018-11-10,0.0001,Active
ACC000128,CUST000083,Checking,233559164915,414.64,2025-05-31,0.0001,Active
ACC000129,CUST000083,Checking,486500744352,1830.65,2025-08-15,0.0001,Dormant
ACC000130,CUST000083,Checking,916536470669,5833.14,2025-07-14,0.0001,Active
ACC000131,CUST000083,Money Market,813414524486,38840.04,2025-06-12,0.0255,Active
ACC000132,CUST000084,Checking,043518406392,4188.04,2025-09-18,0.0001,Active
ACC000133,CUST000085,Savings,327100499126,4410.48,2022-04-30,0.0253,Closed
ACC000134,CUST000086,CD,709819205091,5308.53,2019-10-09,0.0498,Dormant
ACC000135,CUST000086,Checking,625932865711,9496.81,2023-05-11,0.0001,Closed
ACC000136,CUST000087,Savings,300623818392,19852.59,2025-08-23,0.0154,Active
ACC000137,CUST000087,Checking,196079117292,1155.72,2025-02-17,0.0001,Active
ACC000138,CUST000088,Savings,353153562872,16484.63,2020-10-27,0.0244,Closed
ACC000139,CUST000088,Savings,094147716828,25033.03,2018-10-17,0.0233,Active
ACC000140,CUST000088,Checking,682163629703,6091.47,2021-02-01,0.0001,Active
ACC000141,CUST000088,Money Market,732232242637,0.0,2018-11-11,0.0397,Active
ACC000142,CUST000089,Savings,145287847590,4039.81,2025-09-22,0.0156,Active
ACC000143,CUST000090,Checking,105794065253,3670.26,2022-07-07,0.0001,Active
ACC000144,CUST000091,Checking,834519955089,3584.94,2023-08-19,0.0001,Active
ACC000145,CUST000092,Money Market,157066250162,24463.52,2024-03-26,0.0237,Active
ACC000146,CUST000093,Checking,724849261528,9165.58,2025-08-11,0.0001,Dormant
ACC000147,CUST000094,Savings,808207809882,18126.47,2025-07-02,0.0134,Active
ACC000148,CUST000095,Checking,235479130279,7574.45,2024-05-09,0.0001,Active
ACC000149,CUST000095,Money Market,100227982579,27479.21,2023-05-26,0.0395,Active
ACC000150,CUST000096,Savings,432603224080,7607.49,2023-08-10,0.0271,Active
ACC000151,CUST000097,Checking,715068524608,4791.97,2025-07-28,0.0001,Active
ACC000152,CUST000098,Savings,085151228660,9708.08,2024-11-22,0.0104,Active
ACC000153,CUST000098,Savings,941171590364,12607.64,2020-11-01,0.0267,Active
ACC000154,CUST000098,Checking,901259968483,4511.55,2025-04-05,0.0001,Active
ACC000155,CUST000098,Checking,786715429599,691.48,2022-06-08,0.0001,Active
ACC000156,CUST000098,Checking,477007191035,4634.12,2025-09-19,0.0001,Active
ACC000157,CUST000098,Checking,217234051558,2807.22,2022-01-09,0.0001,Closed
ACC000158,CUST000098,Money Market,314387061154,31623.82,2023-06-11,0.0229,Dormant
ACC000159,CUST000098,Checking,895949192659,10841.12,2020-08-21,0.0001,Active
ACC000160,CUST000098,Checking,648143137400,1022.99,2024-03-12,0.0001,Active
ACC000161,CUST000098,Savings,443265495189,9825.25,2020-11-28,0.0225,Active
ACC000162,CUST000099,Checking,517915436980,6182.97,2024-11-15,0.0001,Dormant
ACC000163,CUST000100,Checking,930494080910,5709.23,2025-05-27,0.0001,Closed
ACC000164,CUST000100,Checking,198333167926,2682.98,2025-05-20,0.0001,Active
ACC000165,CUST000100,Checking,990640810671,3812.62,2024-05-29,0.0001,Active
ACC000166,CUST000101,Savings,592086537494,12721.44,2022-05-06,0.0171,Active
ACC000167,CUST000102,Savings,665493478126,3802.82,2019-10-09,0.0203,Active
ACC000168,CUST000103,Checking,863201970307,10880.05,2021-02-24,0.0001,Active
ACC000169,CUST000104,Checking,255881191277,4477.55,2021-06-20,0.0001,Active
ACC000170,CUST000105,Money Market,844246760042,27129.08,2025-02-17,0.0361,Active
ACC000171,CUST000105,Checking,254458479519,4092.46,2024-01-08,0.0001,Active
ACC000172,CUST000105,Checking,140905444962,9732.41,2024-03-15,0.0001,Active
ACC000173,CUST000106,Checking,897390766675,1911.32,2023-03-14,0.0001,Active
ACC000174,CUST000106,Money Market,315799706581,29536.85,2023-01-20,0.022,Active
ACC000175,CUST000106,Checking,836350968019,688.96,2024-04-02,0.0001,Active
ACC000176,CUST000107,Checking,393526017726,7432.43,2025-05-21,0.0001,Active
ACC000177,CUST000108,Money Market,613542701823,0.0,2022-01-20,0.024,Active
ACC000178,CUST000109,Savings,046740718533,34669.54,2021-02-25,0.0123,Active
ACC000179,CUST000110,Savings,848336492152,6218.02,2025-07-25,0.0264,Dormant
ACC000180,CUST000111,Checking,166393032216,9355.61,2023-02-21,0.0001,Active
ACC000181,CUST000112,Savings,155741251218,16562.0,2022-09-03,0.0209,Closed
ACC000182,CUST000113,Checking,445576696253,5416.36,2020-08-29,0.0001,Active
ACC000183,CUST000114,Checking,345741756592,2752.5,2022-01-11,0.0001,Active
ACC000184,CUST000114,Checking,664333519997,9379.24,2018-08-13,0.0001,Active
ACC000185,CUST000115,Checking,930676420117,8929.2,2022-10-26,0.0001,Dormant
ACC000186,CUST000116,Money Market,049566865103,35138.08,2019-08-13,0.031,Active
ACC000187,CUST000116,Checking,783929025324,6167.42,2024-12-20,0.0001,Active
ACC000188,CUST000117,Money Market,657765439592,12226.62,2025-09-24,0.0311,Active
ACC000189,CUST000118,Savings,453474911608,0.0,2024-05-16,0.0153,Active
ACC000190,CUST000119,Money Market,344944748485,26746.12,2022-12-12,0.0357,Active
ACC000191,CUST000120,Money Market,157299142607,10358.92,2023-09-15,0.0213,Active
ACC000192,CUST000121,Checking,612395545259,4306.65,2025-01-21,0.0001,Active
ACC000193,CUST000122,Checking,309780399346,4159.91,2024-11-04,0.0001,Active
ACC000194,CUST000122,Checking,391919382891,6681.36,2025-01-18,0.0001,Active
ACC000195,CUST000123,Money Market,855050681511,11415.02,2024-01-27,0.0253,Active
ACC000196,CUST000124,Checking,217627243814,8796.67,2025-06-16,0.0001,Active
ACC000197,CUST000124,Checking,530144633845,2003.01,2025-06-23,0.0001,Active
ACC000198,CUST000124,Checking,884813120593,6923.34,2024-11-04,0.0001,Active
ACC000199,CUST000124,Savings,922202417669,17635.24,2025-01-07,0.0188,Active
ACC000200,CUST000124,Money Market,382826674000,60787.18,2025-07-26,0.032,Closed
ACC000201,CUST000125,Checking,625959012135,6390.2,2018-12-02,0.0001,Active
ACC000202,CUST000126,Checking,364669370675,3885.33,2023-04-06,0.0001,Dormant
ACC000203,CUST000127,Checking,221194572055,5912.69,2025-03-07,0.0001,Active
ACC000204,CUST000128,Checking,555026945058,8195.68,2021-12-29,0.0001,Active
ACC000205,CUST000129,Checking,939288668980,5068.21,2023-08-30,0.0001,Active
ACC000206,CUST000130,Savings,443052361416,23172.58,2024-03-02,0.0266,Dormant
ACC000207,CUST000131,Checking,420050294079,4757.47,2019-08-16,0.0001,Active
ACC000208,CUST000132,Money Market,104859159054,23457.73,2021-10-03,0.0234,Active
ACC000209,CUST000133,Checking,147140887795,3829.49,2022-04-12,0.0001,Active
ACC000210,CUST000134,Savings,229137901688,10852.44,2022-03-14,0.0156,Active
ACC000211,CUST000135,Money Market,994791415928,31335.11,2025-05-22,0.026,Active
ACC000212,CUST000136,Checking,165374667856,8044.85,2018-03-30,0.0001,Active
ACC000213,CUST000136,Checking,111685952417,4176.97,2021-11-07,0.0001,Active
ACC000214,CUST000136,Savings,563432510110,7445.7,2025-01-22,0.0133,Dormant
ACC000215,CUST000136,Money Market,491410112017,26968.41,2019-09-26,0.0362,Active
ACC000216,CUST000137,Checking,619423802124,3169.67,2024-08-11,0.0001,Active
ACC000217,CUST000138,Checking,080709278574,8507.27,2024-12-18,0.0001,Active
ACC000218,CUST000139,Checking,470269154666,3935.47,2025-04-09,0.0001,Active
ACC000219,CUST000140,Money Market,972231870863,23614.25,2017-03-20,0.0242,Closed
ACC000220,CUST000141,Checking,508290385698,2526.31,2020-04-11,0.0001,Active
ACC000221,CUST000141,Checking,362684941479,8964.69,2022-10-30,0.0001,Active
ACC000222,CUST000142,Checking,926060823820,0.0,2023-08-08,0.0001,Closed
ACC000223,CUST000143,Savings,067824655309,4340.48,2021-07-30,0.0129,Active
ACC000224,CUST000144,Checking,035832232723,5407.42,2025-06-02,0.0001,Active
ACC000225,CUST000145,Checking,083881489948,7279.28,2025-02-14,0.0001,Dormant
ACC000226,CUST000146,Savings,466199971081,2144.56,2023-09-05,0.0253,Active
ACC000227,CUST000147,Money Market,752145544722,0.0,2024-04-01,0.0296,Active
ACC000228,CUST000148,CD,225973037485,21380.41,2021-04-07,0.0412,Active
ACC000229,CUST000148,Savings,320060830773,13544.08,2016-08-21,0.0291,Active
ACC000230,CUST000148,Checking,715733353837,3456.95,2022-08-22,0.0001,Active
ACC000231,CUST000149,Checking,940569476192,286.49,2020-05-16,0.0001,Active
ACC000232,CUST000150,Savings,079624809952,0.0,2023-02-18,0.0132,Active
ACC000233,CUST000150,Savings,737201701175,11657.32,2019-06-24,0.0228,Active
ACC000234,CUST000151,Checking,106744499890,3592.5,2023-09-19,0.0001,Active
ACC000235,CUST000152,Checking,880302492300,3597.07,2025-03-09,0.0001,Active
ACC000236,CUST000153,Checking,155039303803,5884.31,2024-01-10,0.0001,Active
ACC000237,CUST000154,Checking,312950488819,8881.63,2023-03-19,0.0001,Active
ACC000238,CUST000155,Savings,229278099283,30605.48,2025-03-16,0.0277,Active
ACC000239,CUST000156,Savings,062046786303,3239.13,2022-09-10,0.0209,Dormant
ACC000240,CUST000157,Money Market,707698644491,39407.2,2025-08-31,0.0224,Active
ACC000241,CUST000158,Checking,255730180872,6553.24,2025-02-07,0.0001,Active
ACC000242,CUST000159,Money Market,521527231143,38318.89,2018-04-23,0.0257,Active
ACC000243,CUST000160,Money Market,759727771984,26863.03,2025-08-30,0.0281,Active
ACC000244,CUST000161,Checking,740968348698,2975.1,2024-01-12,0.0001,Active
ACC000245,CUST000162,Checking,773605390811,6351.43,2025-08-30,0.0001,Active
ACC000246,CUST000163,Checking,182637419870,7272.33,2022-11-17,0.0001,Active
ACC000247,CUST000164,Checking,339227445454,6316.26,2023-02-07,0.0001,Active
ACC000248,CUST000165,Money Market,924477174066,8219.48,2023-01-19,0.0312,Active
ACC000249,CUST000165,Savings,061376982376,19820.79,2023-01-03,0.0117,Active
ACC000250,CUST000165,Checking,308787909128,12925.52,2025-02-04,0.0001,Closed
ACC000251,CUST000166,Checking,581567102622,2066.66,2019-09-26,0.0001,Active
ACC000252,CUST000167,Savings,628443728284,17289.53,2018-03-07,0.0106,Dormant
ACC000253,CUST000167,Money Market,004320918281,12665.57,2018-11-14,0.0231,Active
ACC000254,CUST000168,Savings,783031729409,9125.11,2025-05-13,0.0222,Dormant
ACC000255,CUST000169,Checking,848141967991,4403.95,2019-01-06,0.0001,Active
ACC000256,CUST000170,Checking,496538519405,1368.45,2022-07-27,0.0001,Dormant
ACC000257,CUST000170,Savings,934010752879,21667.37,2022-04-29,0.0223,Active
ACC000258,CUST000171,Money Market,502259312272,22401.26,2018-10-19,0.0275,Dormant
ACC000259,CUST000171,Savings,503079582546,16896.0,2019-04-03,0.0194,Active
ACC000260,CUST000172,Checking,907516380662,6790.84,2023-01-03,0.0001,Active
ACC000261,CUST000173,Money Market,229176480361,23020.8,2020-04-28,0.0257,Active
ACC000262,CUST000174,Checking,195650584841,6125.57,2025-09-04,0.0001,Closed
ACC000263,CUST000175,Checking,560229351174,2524.99,2024-07-25,0.0001,Dormant
ACC000264,CUST000176,Savings,805846070435,916.05,2019-06-02,0.0234,Active
ACC000265,CUST000176,Checking,610845631479,2176.85,2020-10-04,0.0001,Closed
ACC000266,CUST000176,Checking,889975585379,2517.16,2024-03-04,0.0001,Active
ACC000267,CUST000176,Checking,166809651198,5409.54,2023-06-05,0.0001,Closed
ACC000268,CUST000176,Money Market,473217785457,26934.49,2021-08-24,0.0257,Active
ACC000269,CUST000176,Savings,588348564327,37569.17,2023-04-07,0.0241,Active
ACC000270,CUST000176,CD,701562669981,9250.8,2022-02-26,0.0385,Active
ACC000271,CUST000177,CD,854631646066,10774.39,2016-12-17,0.0409,Active
ACC000272,CUST000178,Checking,838833314932,4883.83,2021-07-23,0.0001,Active
ACC000273,CUST000179,Checking,206665347971,5480.3,2018-09-13,0.0001,Active
ACC000274,CUST000180,Checking,003266617808,5207.16,2025-08-31,0.0001,Active
ACC000275,CUST000181,Savings,916277650294,6237.91,2024-02-11,0.0287,Active
ACC000276,CUST000181,Checking,759271976616,8721.03,2025-05-01,0.0001,Active
ACC000277,CUST000182,Savings,107017744608,3669.96,2024-03-21,0.0144,Closed
ACC000278,CUST000183,Checking,233153497621,7298.94,2025-03-04,0.0001,Active
ACC000279,CUST000183,Checking,375141648668,9444.38,2021-10-02,0.0001,Active
ACC000280,CUST000183,Savings,732786028496,23865.91,2024-09-04,0.0143,Active
ACC000281,CUST000184,Savings,914995253595,0.0,2025-07-10,0.0147,Active
ACC000282,CUST000184,Savings,705944599145,12353.7,2025-02-09,0.013,Dormant
ACC000283,CUST000184,Checking,071360421210,5067.6,2025-06-20,0.0001,Active
ACC000284,CUST000185,Checking,008486542556,4828.76,2021-12-22,0.0001,Dormant
ACC000285,CUST000186,Money Market,544171056739,3670.56,2023-11-20,0.0346,Active
ACC000286,CUST000187,Money Market,070648723583,19661.22,2023-08-17,0.0389,Active
ACC000287,CUST000188,Money Market,047700483076,51594.03,2021-10-01,0.0226,Dormant
ACC000288,CUST000189,Checking,438326225063,3248.24,2021-04-05,0.0001,Active
ACC000289,CUST000189,Checking,230146467503,0.0,2021-12-13,0.0001,Active
ACC000290,CUST000189,Savings,397101044330,11204.64,2023-07-31,0.0173,Active
ACC000291,CUST000190,Money Market,409600876848,36408.09,2022-01-05,0.0278,Active
ACC000292,CUST000191,Checking,768575564429,0.0,2021-12-10,0.0001,Active
ACC000293,CUST000192,Checking,526749422216,5621.05,2023-02-24,0.0001,Active
ACC000294,CUST000193,Money Market,149871420357,7943.77,2020-06-12,0.0376,Active
ACC000295,CUST000194,Checking,863623175533,0.0,2020-08-04,0.0001,Active
ACC000296,CUST000195,Checking,630658582765,4836.74,2022-10-02,0.0001,Active
ACC000297,CUST000196,Savings,897303785814,16597.04,2024-07-14,0.0234,Active
ACC000298,CUST000196,Money Market,983687619075,0.0,2024-08-31,0.0205,Active
ACC000299,CUST000197,Savings,107498188696,26871.08,2024-10-21,0.0277,Active
ACC000300,CUST000198,Savings,970126831562,15288.77,2023-08-18,0.023,Active
ACC000301,CUST000199,Checking,769054352682,7400.13,2019-05-07,0.0001,Active
ACC000302,CUST000200,Savings,271073257592,24888.28,2018-04-14,0.0124,Active
ACC000303,CUST000200,Money Market,489905643172,34907.08,2017-04-25,0.0355,Active
ACC000304,CUST000201,Savings,118670198783,24654.86,2024-06-08,0.017,Active
ACC000305,CUST000202,Checking,131254709973,5689.86,2024-06-27,0.0001,Active
ACC000306,CUST000203,Checking,764718629436,2356.07,2023-12-21,0.0001,Active
ACC000307,CUST000204,Checking,720784584584,1785.82,2025-09-06,0.0001,Active
ACC000308,CUST000205,Checking,021806672527,4863.01,2023-07-08,0.0001,Active
ACC000309,CUST000206,Savings,677421083063,23850.33,2024-09-26,0.0245,Active
ACC000310,CUST000206,Money Market,842575423735,24736.37,2024-03-02,0.0242,Active
ACC000311,CUST000207,Checking,898322535022,2972.19,2023-06-07,0.0001,Active
ACC000312,CUST000207,Checking,033847137058,7157.53,2025-07-16,0.0001,Dormant
ACC000313,CUST000208,Savings,212004023420,19555.71,2024-03-26,0.0138,Active
ACC000314,CUST000208,Savings,535002156383,20395.87,2021-06-01,0.0181,Active
ACC000315,CUST000208,Checking,586949199785,7217.58,2023-03-12,0.0001,Dormant
ACC000316,CUST000209,Checking,553296773759,6068.01,2022-01-10,0.0001,Active
ACC000317,CUST000210,Savings,861666334280,0.0,2025-02-10,0.0221,Active
ACC000318,CUST000210,Checking,497705491140,923.64,2024-12-18,0.0001,Dormant
ACC000319,CUST000210,Checking,267490753513,4412.37,2024-12-13,0.0001,Active
ACC000320,CUST000211,Checking,349565158223,1025.39,2024-11-28,0.0001,Active
ACC000321,CUST000212,CD,967656124983,9883.74,2025-07-13,0.0308,Dormant
ACC000322,CUST000213,Checking,693892529149,4825.48,2025-09-08,0.0001,Active
ACC000323,CUST000214,Checking,290831168674,2615.87,2022-06-09,0.0001,Dormant
ACC000324,CUST000215,Money Market,873207181169,26104.51,2021-06-08,0.0251,Active
ACC000325,CUST000216,CD,187015398740,7708.4,2024-10-25,0.0338,Active
ACC000326,CUST000217,Savings,498511742614,29727.34,2022-08-05,0.0126,Dormant
ACC000327,CUST000218,Checking,893708103574,0.0,2021-09-04,0.0001,Active
ACC000328,CUST000219,Savings,246012854997,20996.97,2023-08-17,0.028,Active
ACC000329,CUST000220,Checking,086670429579,3259.34,2021-05-10,0.0001,Active
ACC000330,CUST000220,Checking,642823598488,3806.05,2016-03-07,0.0001,Dormant
ACC000331,CUST000220,Checking,648412123496,5687.07,2017-01-06,0.0001,Active
ACC000332,CUST000221,Savings,352643611388,11540.33,2019-09-22,0.0195,Active
ACC000333,CUST000222,Money Market,847548700964,14308.82,2022-07-02,0.0282,Active
ACC000334,CUST000223,Checking,856016685867,0.0,2022-04-20,0.0001,Closed
ACC000335,CUST000224,Savings,975393036199,9648.16,2020-02-25,0.0213,Active
ACC000336,CUST000225,Checking,615742368378,8006.88,2019-10-03,0.0001,Active
ACC000337,CUST000226,Checking,880746120465,1120.04,2020-07-04,0.0001,Active
